RecipeID,recipies,RequiredTime,Ingredients,Description
11,"Bajra Rotla Chivda, Maharashtrian Bajra Rotla Chivda",30,"For The Bajra Rotla
1 cup bajra (black millet) flour
1/2 tsp ginger (adrak) paste
1 tsp garlic (lehsun) paste
1 tsp green chilli paste
salt to taste
bajra (black millet) flour for rolling

Other Ingredients
1 1/2 tbsp oil
1/2 tsp cumin seeds (jeera)
1/2 tsp mustard seeds ( rai / sarson)
1/2 cup chopped onions
1 tbsp finely chopped capsicum
1/2 tsp chopped green chillies
1/2 tsp turmeric powder (haldi)
1/2 tsp coriander-cumin seeds (dhania-jeera) powder
1 1/2 tsp lemon juice
salt to taste
2 tbsp finely chopped coriander (dhania)","This dish is really oozing with flavour in every bite, starting right from the rotlas with which this chivda is made.

The dough for the rotlas is boosted with quite a few taste-givers like ginger, garlic and green chillies, and further the shredded rotlas are also cooked with an aromatic tempering and even more tasty ingredients like onions, capsicum and spice powders.

A squeeze of lemon and a sprinkle of coriander leaves raises the bar even higher, making this one of the tastiest snacks you would have ever tasted!

Enjoy the Bajra Rotla Chivda hot and fresh, with a cup of steaming chaai . Try other Bajra based delights like Bajra Onion Muthia and Bajra Vadi ."
12,"Baked Bhakarwadi, Healthy Jar Snack",40,"For The Dough
1/2 cup whole wheat flour (gehun ka atta)
1/4 cup besan (bengal gram flour)
1/8 tsp turmeric powder (haldi)
1/4 tsp chilli powder
salt to taste
3/4 tbsp oil

For The Masala
1/4 cup grated dry coconut (kopra)
2 tbsp sesame seeds (til)
1 tbsp poppy seeds (khus-khus)
3/4 tsp coriander (dhania) powder
3/4 tsp cumin seeds (jeera) powder
1/2 tbsp coarsely powdered fennel seeds (saunf)
1/2 tsp grated ginger (adrak)
1/2 tbsp chilli powder
1/8 tsp turmeric powder (haldi)
3/4 tsp dried mango powder (amchur)
1/8 tsp asafoetida (hing)
1/2 tbsp sugar
salt to taste
1/2 tbsp besan (bengal gram flour)","Bhakarwadi is one of the most famous Maharashtrian jar snacks. With an exquisite blend of flavours, it is the perfect accompaniment for a cup of hot tea on a rainy day.

Here, we have made a healthier version, which is baked instead of deep-fried. Two things are important to get the perfect Bhakarwadi. First, the masala needs to have all the spices in the right proportion, in order to get the ideal balance of sweetness, tanginess and spiciness. Next, you need to master the art of rolling the dough such that the masala does not spill out. If you take care of these two, you are sure to produce a perfect batch of Bhakarwadi.

Now, you can also indulge in your favourite snack any time because the Baked Bhakarwadi is healthy and super tasty, and has a wonderful mouth-feel too.

You can also try other healthy jar snacks like Beetroot Shakkarpara , Thattai or Ragi and Oat Crackers ."
13,"Banana and Rajgira Puri, Upvaas Recipe",20,"1/4 cup mashed banana
3/4 cup rajgira flour
1 1/2 tbsp powdered sugar
1/4 tsp cardamom (elaichi) powder
oil for greasing
oil for deep-frying","Craving for puris on an upvaas day? Well, nothing wrong in having a piece or two of this tasty, upvaas friendly Banana and Rajgira Puri to satisfy your hunger and top up the energy levels.

These yummy puris are made of a dough of rajgira flour, boosted with mashed bananas and laced with cardamom powder.

Mildly sweet, with the pleasant flavour of banana, these puris taste best when served immediately after preparation.

You can also try other fasting recipes like the Kand Puri and the Chatpata Kand ."
14,Basic Kolhapuri Gravy,26,"For Basic Kolhapuri Gravy
2 cups tomato cubes
10 cashew nuts (kaju)
4 whole dry kashmiri red chillies , broken into pieces
1 tbsp oil
1 tbsp butter
1 tsp cumin seeds (jeera)
1 bayleaf (tejpatta)
4 cloves (laung / lavang)
1 small stick cinnamon (dalchini)
2 cardamoms (elaichi)
2 tsp garlic (lehsun) paste
1 tsp ginger (adrak) paste
1 tsp green chilli paste
1/2 cup onion cubes
1/2 tsp chilli powder
1/4 tsp turmeric powder (haldi)
1 tsp coriander (dhania) powder
1 tsp garam masala
1 tsp malvani masala
salt to taste","Kolhapuri gravy recipe | Maharashtrian Kolhapuri gravy | basic Kolhapuri gravy | with 25 amazing images.

Kolhapuri gravy recipe is from the Kolhapur region in Maharashtra as the name suggests. This is a medium spicy basic Kolhapuri gravy with the enticing tang of tomatoes and the crunch of saut�ed onions.

Cashews give the gravy a rich flavour and mouth-feel, while a horde of spice powders and pastes, including a special Malvani Masala, give the basic Kolhapuri gravy a brilliant flavour. Being a tangy and medium-spicy one, this basic Kolhapuri gravy is quite versatile and goes well with a range of vegetables, paneer and beans too.

Use Kolhapuri gravy basic to make vegetable Kolhapuri sabzi. Maharashtrians use Kolhapuri gravy to make a sabzi of doodhi and potato. Usal can also be made with Kolhapuri gravy.

To store Kolhapuri gravy, cool the gravy completely, pour in food-grade zip lock bags or airtight containers and store in the freezer. Before making the subzi using the stored gravy, thaw and use it as per the recipe.

Learn to make Kolhapuri gravy recipe | Maharashtrian Kolhapuri gravy | basic Kolhapuri gravy | with step by step photos and video below."
15,"Basic Toovar Dal Recipe, Toor Dal",30,"For Basic Toovar Dal Recipe
3/4 cup toovar (arhar) dal , washed and drained
1/4 cup chopped onions
1/4 cup chopped tomatoes
1 slit green chilli
1/2 tsp turmeric powder (haldi)
1 tbsp oil
1/2 tsp cumin seeds (jeera)
4 crushed garlic (lehsun)
1/4 tsp asafoetida (hing)
4 curry leaves (kadi patta)
2 whole dry kashmiri red chillies , broken into pieces
salt to taste
2 tbsp chopped coriander (dhania)","toovar dal recipe | toor dal | Gujarati toor dal | healthy arhar dal | with 20 amazing images.

toovar dal recipe easy though it is to make, is the ultimate comfort food for many Indians! Gujarati toor dal hardly requires any effort and uses only common everyday ingredients like toor dal, onions, tomatoes, India spices, that you are sure to have at home.

All you need to do is pressure-cook the toor dal with onions and tomatoes, and cook it further for few minutes with an aromatic tempering of spices and seeds.

Notes on toovar dal recipe. 1. Mix well and pressure cook for 3 whistles. Allow the steam to escape before opening the lid. Different brands of cooker require different time to cook and also the number of whistles will vary depending on the flame. 2. The basic toor dal recipe makes use of a handful of ingredients so, ensure they are fresh and do not use store-bought or frozen garlic and instead use freshly pounded garlic to give a nice flavourful hint to the toor dal.

Let's see why this is a healthy tuhar dal? Toor dal is rich in proteins, the building block of good health. It is High in fiber and diabetic and heart friendly also. The recipe using onions and tomatoes as the vegetables. Onions with other phytonutrients from onions, it helps to build WBC (white blood cells) which serves as a line of defence against illness. Tomatoes are a powerful antioxidant, super rich in Vitamin C, good for heart.

What you get after this simple procedure is a super tasty, homely and satiating toovar dal, which combines well with any Indian bread or a bowl of hot rice !

You can also try other dal recipes like Dal Moghlai or Dal Pinni.

Learn to make toovar dal recipe | toor dal | Gujarati toor dal | healthy arhar dal | with step by step photos and video below."
16,Basundi ( Gujarati Recipe) Recipe - How To Make Basundi,2,"For Basundi
6 1/2 cups full-fat milk
1/2 cup sugar
1/2 tsp cardamom (elaichi) powder
2 tsp sliced almonds (badam)
2 tsp chopped cashewnuts (kaju)

For The Garnish
2 tsp almond (badam) slivers
2 tsp pistachio slivers
a few saffron (kesar) strands","basundi | gujarati basundi | how to make basundi

Gujarati basundi is a rich and delicious Gujarati mishtan of thickened milk, very similar to the North Indian rabdi, it is basically just boiling the milk in a thick bottomed pan till the milk is reduced.

Almonds and pistachios add crunch to this rich , creamy basundi. Remember to keep scraping the sides of the vessel when cooking, as that will make the basundi thick and impart a real creamy texture.

Use a flat spoon to scrape the vessel as it is more convenient than a round spoon. gujarati basundi can be served warm or chilled and tastes amazing with piping hot, deep-fried puris and Undhiyu.

Come festivals like Raksha Bandhan, Janmashtami or Navratri, my father would start reducing the milk since 5 am for making basundi, so that the gas range would be free before my mother gets up and starts cooking the meal.

Twist the authentic Basundi sweet recipe and make innovative Pineapple Basundi with fruity flavor. To fasten the cooking process, you can even make basundi with condensed milk that will get ready quickly.

Aside from basundi, see our Gujarati sweet recipes like Golpapdi, Kopra Pak, Mohanthal.

See our basundi | gujarati basundi | how to make basundi"
17,Batata Ani Flower Cha Rassa,37,"1 cup potato cubes
1 cup cauliflower florets
2 tsp oil
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp cumin seeds (jeera)
1/2 cup finely chopped onions
1/2 cup chopped tomatoes
1 tsp ginger (adrak) paste
1 tsp garlic (lehsun) paste
1 tsp finely chopped green chillies
1/4 tsp turmeric powder (haldi)
1 tsp chilli powder
1/4 tsp goda masala or garam masala
a pinch of sugar
salt to taste

For The Garnish
1 tbsp finely chopped coriander (dhania)","A typical Maharashtrian food, Batata ani Flower cha Rassa enhances the traditional preparation by using cauliflower florets in addition to potato cubes. Cooked with typical ingredients like tomatoes, ginger paste, etc., and a traditional tempering, this curry is slightly watery and must be served piping hot! For the most authentic flavour, use goda masala, but if you are unable to get it, then use garam masala instead."
18,"Batata Chi Bhaji ( Potato Vegetable, Aloo ki Subzi )",13,"3 cups boiled potato cubes
2 tsp oil
2 tsp cumin seeds (jeera)
4 to 5 curry leaves (kadi patta)
3 green chillies , slit green chillies
1 tbsp roasted and coarsely crushed peanuts
a pinch of sugar
salt to taste

For The Garnish
1 tbsp finely chopped coriander (dhania)","The simplicity is what lures one to this recipe! So easy yet unbelievably flavourful, the Batata chi Bhaji is a no-fuss preparation of potatoes perked up with the traditional Maharashtrian tempering of cumin seeds, curry leaves and green chillies, with crushed peanuts for crunch, aroma and an irresistibly nutty flavour."
19,"Batata Poha, Quick Kanda Batata Poha, Aloo Poha",20,"For Gujarati Style Batata Poha
2 cups thick beaten rice (jada poha)
2 tbsp oil
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp asafoetida (hing)
1/2 cup finely chopped onions
1/2 cup peeled potato cubes
salt to taste
3/4 tsp turmeric powder (haldi)
1 tsp ginger-green chilli paste
1 tbsp sugar
2 tsp lemon juice
1 tbsp milk
1 tbsp finely chopped coriander (dhania)

For The Garnish
1 tbsp finely chopped coriander (dhania)
lemon wedge

For The Maharashtrian Style Batata Poha
2 cups thick beaten rice (jada poha)
1/2 cup raw peanuts
2 tbsp oil
10 curry leaves (kadi patta)
1 tsp cumin seeds (jeera)
1/2 tsp mustard seeds ( rai / sarson)
3/4 cup finely chopped onions
1 1/2 tbsp finely chopped green chillies
1/2 cup boiled potato cubes
3/4 tsp turmeric powder (haldi)
salt to taste
1/4 cup finely chopped coriander (dhania)

For Serving With Maharashtrian Style Batata Poha
lemon wedges","batata poha recipe | Maharashtrian style batata poha | aloo kanda poha | Gujarati style bateta poha | with amazing 18 images.

An all-time favourite Maharashtrian snack and Gujarati snack, batata poha has a universal appeal amongst youngsters and elders alike. Everybody has a reason for loving this delicious snack � its wholesomeness, convenience, enjoyable flavour or unique texture.

Poha is a supremely breakfast recipe made with flat beaten rice, every household has their own version of making poha. Batata poha can be quickly made and can be served on any occasion. If you have guests popping up suddenly, you can definitely make poha in a jiffy. Method of cooking is also very simple. Maharashtrian style batata poha and Gujarati style bateta poha can be also served as an evening tea snack.

To make Batata poha, take oil in a deep non-stick pan and add the mustard seeds. Add the asafoetida and saut� on a medium flame for a few seconds. Add the onions and saut� on a medium flame for 1 to 2 minutes. Add the potatoes, 2 tbsp of water, salt and 1/2 tsp of turmeric powder which gives the beautiful color to the poha. While stirring occasionally. Meanwhile, place the beaten rice in a sieve and hold it under running water for a few seconds. Toss well to drain out all excess water. Add the washed and drained beaten rice, a little salt, ginger-green chilli paste, remaining 1/4 tsp of turmeric powder, sugar, lemon juice and milk. Milk will help in making the poha soft. Add the coriander and mix well. Serve Gujarati style bateta poha hot garnished with coriander and lemon wedge.

The Maharashtrian style batata poha is equally simple and easy to make. It has peanuts which adds a nutty flavor and crunch to the poha. You will thoroughly enjoy the bites of potatoes and onions dancing between the soft poha in this recipe which is also known as aloo kanda poha, while the traditional tempering, ginger-chilli paste and lemon juice add to the flavour.

Many Maharashtrians garnish the Batata poha with coconut and coriander to enhance the flavour and texture of this lovely Maharashtrian style batata poha snack. While batata poha tastes best when had hot and fresh, it can also be carried in the tiffin box.

Enjoy batata poha recipe | Maharashtrian style batata poha | aloo kanda poha | Gujarati style bateta poha | with detailed step by step photos and video below."
20,Batata Tomato Rassa Bhaji,40,"For The Paste
2 1/2 tsp oil
1/2 cup sliced onions
1/4 cup grated dry coconut (kopra)
1 clove (laung/lavang)
1 cardamom (elaichi)
1 cinnamon (dalchini)
5 whole black peppercorns (kalimirch)
1 tsp coriander seeds (dhania)
1/4 tsp fennel seeds (saunf)
1/2 tsp poppy seeds (khus-khus)
1 bayleaf (tejpatta)
a pinch of fenugreek (methi) seeds
3 whole dry red kashmiri chillies , broken into pieces

Other Ingredients
1 1/4 cups potato cubes
1/2 cup tomato cubes
2 tsp oil
1/4 tsp mustard seeds ( rai / sarson)
a pinch of asafoetida (hing)
1/4 tsp turmeric powder (haldi)
1/2 tsp sugar
salt to taste

For The Garnish
1 tbsp finely chopped coriander (dhania)","Name the spice, choose your flavour, and you will find it in this bhaji. A traditional Maharashtrian favourite, the Batata Tomato Rassa Bhaji revolves around an intense paste of assorted spices, onions and coconut, which makes it super-tasty! Although the ingredient list is long, this dish is not as complex as it seems because the paste can be prepared in advance and frozen. Once you have that ready, you can prepare this delectable accompaniment on even the busiest of days because it requires just potatoes and tomatoes, which are always available in the larder! Plus, this ever-popular combination of veggies is bound to be enjoyed by the whole family, so this would be a one-dish-pleases-all option!"
21,Batata Vada(maharashtrain Style Of Potato Vada),0,"2 large potatoes
1 large onion
3 green chillies
1/2 "" ginger (adrak)
1 tbsp coriander (dhania)
1 tbsp powdered peanuts
1 tbsp grated coconut
1/2 tbsp lemon juice
salt to taste
1/2 tsp sugar
for batter:
1 cup besan (Bengal gram flour)
a pinch turmeric powder (haldi)
a pinch asafoetida (hing)
a pinch baking soda
salt to taste
1/2 tsp chilli powder
oil for frying","An excellent tea time snack.

if u wish to omit onion u can make without that too."
22,"Besan Ladoo, Indian Mithai",23,"For Besan Ladoo
4 cups besan (bengal gram flour)
1 cup ghee
2 cups powdered sugar
1/4 cup coarsely powdered almonds (badam)
1/2 tsp cardamom (elaichi) powder

For The Garnish
1 tbsp almond (badam) slivers","besan ladoo recipe | besan ke ladoo | besan ladoo with step by step photos | with 20 amazing images.

besan ladoo is one of the most popular mithai in Indian cuisine. It might be known by various names, but this delicious laddoos of spiced and sweetened besan is famous all over the country.

besan ladoo are made and relished for festivals, family events and different occasions. Some people also serve besan ke ladoo as prasadam. All you need is patience while making besan ladoo, patience is the key.

Ingredients used for making besan ladoo are simply available in every Indian household pantry. All you need to do to make besan ladoo is heat ghee in a non stick pan, once the ghee is hot. Add besan and keep stirring it continuously which will prevent it from burning. Do not strictly leave it unattended. You will need to roast the besan for 13-15 mins atleast. You will know the besan is cooked when the besan would turn golden brown and has a nice aroma. Further, transfer it in a plate and let it cool down. Once the mixture has come to room temperature, add sugar. Also, add coarsely grounded almonds which would give laddus a nutty taste and finally cardamom powder which would enhance the taste of it. Mix well and roll into laddoos. The finish of the laddoos should be shiny, which is an indication of perfectly cooked besan ladoo.

When making this, remember that the rich flavour of the besan ladoo depends on how well you cook the besan. Under-cooking it will leave behind a raw taste, which will ruin the whole recipe. So, make sure you cook it well. The proportion of ghee and besan is also important as you might end up with a dry or very soft besan ladoo if it is not done right.

Once you have the mix ready, take some in your palm, shape it into a round and keep rolling it in your hand till you get a smooth, lustrous, ghee-tinted texture on the surface. besan ladoo will look so irresistible at this stage that you would just want to pop it into your mouth! That�s when the laddoo is ready.

If you liked this, you are sure to also enjoy other Traditional Indian Mithai recipes made from besan like Mysore Pak, Sweet Boondi and Mohanthal.

Enjoy besan ladoo recipe | besan ke ladoo | besan ladoo with step by step photos | with detailed step by step photos and video below."
23,"Bhadang Murmura, Maharashtrian Puffed Rice Chivda Recipe",21,"4 cups thick puffed rice (kurmura)
2 1/2 tbsp oil
1/2 cup raw peanuts
1/2 tsp mustard seeds ( rai / sarson)
2 tbsp crushed garlic (lehsun)
1 tbsp chopped green chillies
8 curry leaves (kadi patta)
1/2 tsp asafoetida (hing)
1/2 tsp turmeric powder (haldi)
salt to taste","Scrumptious to the core, this flavourful snack is made of puffed rice perked up with garlic, green chillies and curry leaves. The most interesting aspect of the Bhadang Murmura, however, is the use of crunchy peanuts, which contrast beautifully with the texture and flavour of the murmura, to give your taste buds an exciting ride.


Maharashtrians like to carry along some of this Puffed Rice Chivda when they travel. It is also nice to keep a batch of this at home, handy to munch on when you are hungry. It can be had as it is, or with onions, tomatoes and a tangy lacing of lemon juice."
24,"Bhajiya Pav, Mumbai Roadside Bhajiya Pav",35,"For The Bhajiya
1 cup peeled potato slices
1/2 cup besan (bengal gram flour)
1/4 tsp turmeric powder (haldi)
1 tsp chilli powder
salt to taste
1 tbsp finely chopped coriander (dhania) , optional

Other Ingredients For Bhajiya Pav
5 ladi pav
oil for deep-frying
7 1/2 tsp khajur imli ki chutney
5 tsp green chutney
5 dry garlic chutney

For Serving With Bhajiya Pav
5 to 7 fried green chillies","bhajiya pav | mumbai roadside bhajiya pav | maharastrian bhajiya pav | with 26 amazing images.

The all-time favourite combination of soft, succulent ladi pav and yummy potatoes, which features in many Mumbai roadside snacks like Pav Bhaji and Vada Pav comes together in an easier and more handy form in this bhajiya pav.

mumbai roadside bhajiya pav is made from potato slices which are dipped in a besan batter and deep-fried into bhaiyas, which are then sandwiched between ladi pav along with a drizzling of tongue-tickling chutneys.

You can keep the sauces ready, but deep-fry the potatoes just before preparing the bhajiya pav because the crispness of the bhajiyas and the tang of the chutneys are the secrets behind the success of this mumbai roadside bhajiya pav.

I would like to share some important tips to make the perfect bhajiya pav. For frying the aloo bajji for maharastrian bhajiya pav, heat the oil in a deep non-stick pan. To check if the oil is hot or not, drop a tiny amount of batter into oil and if it comes on the top immediately after 1-2 seconds then oil is ready to deep fry. If it submerges then oil is not ready, if it comes on top immediately then the oil is very hot.

Enjoy how to make bhajiya pav | mumbai roadside bhajiya pav | maharastrian bhajiya pav with detailed step by step photos and video below."
25,Bhakarwadi,35,"For The Dough
2/3 cup besan (bengal gram flour)
1 1/2 cups plain flour (maida)
1 tsp chilli powder
1/4 tsp asafoetida (hing)
salt to taste

To Be Mixed Together For The Stuffing
1/2 tbsp cumin seeds (jeera) powder
1/2 tbsp coriander (dhania) powder
100 gms roasted poppy seeds (khus-khus)
200 gms grated coconut
3 green chillies
2 tsp chopped ginger (adrak)
1/4 cup chopped coriander (dhania)
2 tsp chilli powder
1/2 tsp turmeric powder (haldi)
1/4 tsp asafoetida (hing)
salt to taste

Other Ingredients
oil for deep frying","Bhakarwadi is a traditional spicy maharastrian snack recipe which requires effort but can be stored for weeks and enjoyed with evening tea. The flour based round discs are stuffed with roasted poppy seeds, steamed and then finally deep fried to a crispy finish."
